food_id,type,title,city,famous_shop,country,category,description
f1,Food,牛肉麵,台北市,林東芳牛肉麵,Taiwan,麵食,"台北牛肉麵是台灣代表性麵食之一，湯頭濃郁，常搭配牛腱、牛筋與寬麵，是許多觀光客到台北會尋找的經典美食。"
f2,Food,小籠包,台北市,鼎泰豐信義本店,Taiwan,點心,"小籠包以薄皮、多汁湯包與細緻摺紋聞名，鼎泰豐是國際知名的台灣餐飲品牌，適合作為台北小籠包代表資料。"
f3,Food,牛肉湯,台南市,文章牛肉湯,Taiwan,湯品,"台南牛肉湯使用溫體牛肉，以熱湯沖熟薄切牛肉，湯頭清甜鮮美，是台南非常具代表性的早午餐與在地小吃。"
f4,Food,火雞肉飯,嘉義市,噴水雞肉飯,Taiwan,飯食,"嘉義火雞肉飯以白飯鋪上火雞肉絲，淋上雞油與醬汁，香氣濃郁，是嘉義最具代表性的庶民美食之一。"
f5,Food,太陽餅,台中市,太陽堂老店,Taiwan,伴手禮,"台中太陽餅外皮酥鬆，內餡多為麥芽糖，甜而不膩，是台中經典伴手禮，常被遊客作為台中名產購買。"
f6,Food,肉圓,彰化縣,阿璋肉圓,Taiwan,小吃,"彰化肉圓外皮Q彈，內餡多為豬肉、筍丁與香菇，常以油泡或蒸製後淋上甜鹹醬汁，是彰化代表小吃。"
f7,Food,米粉,新竹市,新竹城隍廟米粉,Taiwan,小吃,"新竹米粉以細緻Q彈聞名，常與貢丸湯一起搭配，新竹城隍廟周邊是許多遊客品嚐米粉與小吃的熱門區域。"
f8,Food,包心粉圓,宜蘭縣,魏姐包心粉圓,Taiwan,甜點,"宜蘭羅東包心粉圓以Q彈粉圓包入紅豆餡為特色，常見於羅東夜市與宜蘭甜品推薦，是消暑甜點代表。"
f9,Food,蚵仔煎,高雄市,六合夜市蚵仔煎,Taiwan,夜市小吃,"蚵仔煎以鮮蚵、蛋、青菜與粉漿煎成，口感軟Q並搭配甜鹹醬汁，是台灣夜市常見的代表小吃。"
f10,Food,公正包子,花蓮縣,公正包子店,Taiwan,點心,"花蓮公正包子以小籠包、蒸餃與平價點心聞名，份量簡單直接，是許多旅客到花蓮會排入行程的在地小吃。"
